,host_id,room_type,year,count
711,398771,Entire home/apt,2013,
712,400480,Entire home/apt,2013,
713,401418,Entire home/apt,2013,
714,401524,Entire home/apt,2013,
715,401712,Entire home/apt,2013,
716,401904,Entire home/apt,2013,
717,402597,Entire home/apt,2013,
718,403715,Entire home/apt,2013,
719,404043,Entire home/apt,2013,
720,404314,Entire home/apt,2013,
721,404996,Entire home/apt,2013,
722,405642,Entire home/apt,2013,
723,405675,Entire home/apt,2013,
724,406508,Entire home/apt,2013,
725,407365,Entire home/apt,2013,
726,407871,Entire home/apt,2013,
727,408266,Entire home/apt,2013,
728,410935,Entire home/apt,2013,
729,411894,Entire home/apt,2013,
730,415207,Entire home/apt,2013,
731,415715,Entire home/apt,2013,
732,416597,Entire home/apt,2013,
733,417293,Entire home/apt,2013,1.0
734,417338,Entire home/apt,2013,
735,417366,Entire home/apt,2013,
736,417666,Entire home/apt,2013,
737,417805,Entire home/apt,2013,
738,419883,Entire home/apt,2013,
739,421196,Entire home/apt,2013,
740,422437,Entire home/apt,2013,
741,423328,Entire home/apt,2013,
742,423348,Entire home/apt,2013,
743,424793,Entire home/apt,2013,
744,424878,Entire home/apt,2013,
745,426303,Entire home/apt,2013,
746,426791,Entire home/apt,2013,
747,427130,Entire home/apt,2013,
748,427156,Entire home/apt,2013,
749,427694,Entire home/apt,2013,
750,428414,Entire home/apt,2013,1.0
751,428807,Entire home/apt,2013,
752,429214,Entire home/apt,2013,
753,429334,Entire home/apt,2013,
754,429469,Entire home/apt,2013,
755,431217,Entire home/apt,2013,
756,432220,Entire home/apt,2013,
757,432967,Entire home/apt,2013,
758,434189,Entire home/apt,2013,
759,434780,Entire home/apt,2013,
760,435007,Entire home/apt,2013,
761,436441,Entire home/apt,2013,
762,436472,Entire home/apt,2013,
763,437614,Entire home/apt,2013,
764,439589,Entire home/apt,2013,
765,440003,Entire home/apt,2013,
766,440084,Entire home/apt,2013,
767,441564,Entire home/apt,2013,
768,442443,Entire home/apt,2013,
769,442661,Entire home/apt,2013,
770,442724,Entire home/apt,2013,
771,442742,Entire home/apt,2013,
772,442948,Entire home/apt,2013,
773,444847,Entire home/apt,2013,
774,445716,Entire home/apt,2013,
775,448103,Entire home/apt,2013,
776,449968,Entire home/apt,2013,
777,451471,Entire home/apt,2013,
778,451733,Entire home/apt,2013,
779,453718,Entire home/apt,2013,
780,454944,Entire home/apt,2013,
781,456552,Entire home/apt,2013,
782,456877,Entire home/apt,2013,
783,458097,Entire home/apt,2013,
784,458888,Entire home/apt,2013,
785,459609,Entire home/apt,2013,
786,459635,Entire home/apt,2013,
787,460690,Entire home/apt,2013,
788,461187,Entire home/apt,2013,
789,461474,Entire home/apt,2013,
790,461851,Entire home/apt,2013,
791,461924,Entire home/apt,2013,
792,462037,Entire home/apt,2013,
793,463637,Entire home/apt,2013,
794,465112,Entire home/apt,2013,
795,465384,Entire home/apt,2013,
796,465520,Entire home/apt,2013,
797,466347,Entire home/apt,2013,
798,466476,Entire home/apt,2013,
799,466485,Entire home/apt,2013,
800,467042,Entire home/apt,2013,
801,467283,Entire home/apt,2013,
802,467394,Entire home/apt,2013,
803,469757,Entire home/apt,2013,
804,469934,Entire home/apt,2013,
805,471439,Entire home/apt,2013,
806,471561,Entire home/apt,2013,
807,472485,Entire home/apt,2013,
808,474156,Entire home/apt,2013,
809,475974,Entire home/apt,2013,
810,476563,Entire home/apt,2013,
811,477208,Entire home/apt,2013,
812,479857,Entire home/apt,2013,
813,479977,Entire home/apt,2013,
814,480061,Entire home/apt,2013,
815,481173,Entire home/apt,2013,
