room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17371171,1188,36997746,Shared room,,San Francisco,,Outer Sunset,5,5.0,1,1.0,,56.0,,2017-05-05 16:55:11.462194,37.751359,-122.477392,0101000020E6100000CFD72C978D9E5EC013471E882CE04240
8763407,1188,23278,Shared room,,San Francisco,,Mission,87,5.0,1,1.0,,49.0,,2017-05-05 16:55:11.458604,37.758097,-122.413884,0101000020E61000009C1551137D9A5EC00D198F5209E14240
14756524,1188,26647424,Shared room,,San Francisco,,Mission,0,0.0,1,1.0,,34.0,,2017-05-05 16:55:09.905659,37.769089,-122.423983,0101000020E6100000D7C39789229B5EC04F5B238271E24240
16288478,1188,3485414,Shared room,,San Francisco,,South of Market,10,4.5,1,1.0,,40.0,,2017-05-05 16:55:09.886358,37.780238,-122.396383,0101000020E61000002F6CCD565E995EC0588CBAD6DEE34240
10926089,1188,56640408,Entire home/apt,,San Francisco,,Pacific Heights,0,0.0,5,4.0,,5000.0,,2017-05-05 16:26:59.633360,37.796619,-122.431089,0101000020E6100000952A51F6969B5EC0A52F849CF7E54240
10882778,1188,11215626,Entire home/apt,,San Francisco,,Western Addition,0,0.0,9,4.0,,2250.0,,2017-05-05 16:26:59.610778,37.785999,-122.442118,0101000020E610000044BE4BA94B9C5EC027D87F9D9BE44240
5859735,1188,30424204,Entire home/apt,,San Francisco,,Pacific Heights,0,0.0,3,3.0,,1300.0,,2017-05-05 16:26:56.752807,37.795613,-122.433012,0101000020E6100000A3B1F677B69B5EC0E0A293A5D6E54240
15465170,1188,48171824,Entire home/apt,,San Francisco,,Bernal Heights,2,0.0,16,0.0,,1050.0,,2017-05-05 16:26:55.522996,37.743534,-122.421707,0101000020E6100000A25F5B3FFD9A5EC066BB421F2CDF4240
2970867,1188,15158924,Entire home/apt,,San Francisco,,Inner Sunset,1,0.0,16,0.0,,1450.0,,2017-05-05 16:26:55.493650,37.764342,-122.463089,0101000020E6100000CA880B40A39D5EC0C87A6AF5D5E14240
7003729,1188,819048,Entire home/apt,,San Francisco,,Marina,2,0.0,10,4.0,,1500.0,,2017-05-05 16:26:53.884719,37.796396,-122.445641,0101000020E61000006E30D461859C5EC02655DB4DF0E54240
13900287,1188,80700711,Entire home/apt,,San Francisco,,Russian Hill,2,0.0,6,3.0,,1200.0,,2017-05-05 16:26:53.872054,37.803745,-122.42271,0101000020E61000004C6C3EAE0D9B5EC069A9BC1DE1E64240
10742618,1188,13864524,Entire home/apt,,San Francisco,,Marina,0,0.0,10,4.0,,1425.0,,2017-05-05 16:26:52.479238,37.802342,-122.427163,0101000020E6100000EBC37AA3569B5EC0871A8524B3E64240
4418675,1188,22457660,Entire home/apt,,San Francisco,,Castro/Upper Market,15,5.0,11,5.0,,1100.0,,2017-05-05 16:26:52.473807,37.756595,-122.435583,0101000020E610000063EC8497E09B5EC097A8DE1AD8E04240
10628904,1188,1574488,Entire home/apt,,San Francisco,,Glen Park,0,0.0,8,3.0,,1495.0,,2017-05-05 16:26:52.467528,37.734496,-122.430208,0101000020E6100000909E2287889B5EC07B8505F703DE4240
12497487,1188,53872592,Entire home/apt,,San Francisco,,Financial District,0,0.0,4,1.0,,1100.0,,2017-05-05 16:26:50.932325,37.789418,-122.403616,0101000020E61000001C0934D8D4995EC0D66F26A60BE54240
6234975,1188,11919978,Entire home/apt,,San Francisco,,Mission,0,0.0,4,2.0,,1200.0,,2017-05-05 16:26:49.522995,37.763469,-122.423703,0101000020E6100000E50D30F31D9B5EC04241295AB9E14240
12607119,1188,68425495,Entire home/apt,,San Francisco,,Marina,13,5.0,8,6.0,,1100.0,,2017-05-05 16:26:49.504938,37.803895,-122.439744,0101000020E61000002FA704C4249C5EC07E350708E6E64240
10810494,1188,55711138,Entire home/apt,,San Francisco,,South of Market,0,0.0,2,0.0,,750.0,,2017-05-05 16:26:44.509942,37.784562,-122.3898,0101000020E6100000C5FEB27BF2985EC099D711876CE44240
1772611,1188,9286462,Entire home/apt,,San Francisco,,Downtown/Civic Center,1,0.0,2,1.0,,720.0,,2017-05-05 16:26:44.507359,37.784787,-122.420011,0101000020E6100000753DD175E19A5EC0B9A981E673E44240
